time	V(vout)
3.467038295175961e-003	-1.233981e-001
3.486569545175961e-003	-7.610551e-002
3.506100795175961e-003	-2.771339e-002
3.525632045175960e-003	2.105043e-002
3.545163295175960e-003	6.945252e-002
3.564694545175959e-003	1.167648e-001
3.584225795175959e-003	1.622758e-001
3.603757045175958e-003	2.053008e-001
3.623288295175958e-003	2.451929e-001
3.642819545175958e-003	2.813518e-001
3.662350795175957e-003	3.132339e-001
3.681882045175957e-003	3.403594e-001
3.701413295175956e-003	3.623206e-001
3.720944545175956e-003	3.787870e-001
3.740475795175956e-003	3.895109e-001
3.760007045175955e-003	3.943311e-001
3.779538295175955e-003	3.931751e-001
3.799069545175954e-003	3.860602e-001
3.818600795175954e-003	3.730935e-001
3.838132045175953e-003	3.544700e-001
3.857663295175953e-003	3.304698e-001
3.877194545175953e-003	3.014540e-001
3.896725795175952e-003	2.678589e-001
3.916257045175952e-003	2.301897e-001
3.935788295175951e-003	1.890132e-001
3.955319545175951e-003	1.449487e-001
3.974850795175951e-003	9.865882e-002
3.994382045175950e-003	5.083992e-002
4.013913295175950e-003	2.211215e-003
4.033444545175949e-003	-4.649587e-002
4.052975795175949e-003	-9.454873e-002
4.072507045175948e-003	-1.412246e-001
4.092038295175948e-003	-1.858215e-001
4.111569545175948e-003	-2.276686e-001
4.131100795175947e-003	-2.661364e-001
4.150632045175947e-003	-3.006464e-001
4.170163295175946e-003	-3.306795e-001
4.189694545175946e-003	-3.557841e-001
4.209225795175946e-003	-3.755825e-001
4.228757045175945e-003	-3.897768e-001
4.248288295175945e-003	-3.981537e-001
4.267819545175944e-003	-4.005871e-001
4.287350795175944e-003	-3.970404e-001
4.306882045175943e-003	-3.875670e-001
4.326413295175943e-003	-3.723093e-001
4.345944545175943e-003	-3.514969e-001
4.365475795175942e-003	-3.254428e-001
4.385007045175942e-003	-2.945388e-001
4.404538295175941e-003	-2.592498e-001
4.424069545175941e-003	-2.201066e-001
4.443600795175941e-003	-1.776979e-001
4.463132045175940e-003	-1.326616e-001
4.482663295175940e-003	-8.567505e-002
4.502194545175939e-003	-3.744499e-002
4.521725795175939e-003	1.130315e-002
4.541257045175938e-003	5.983615e-002
4.560788295175938e-003	1.074240e-001
4.580319545175938e-003	1.533511e-001
4.599850795175937e-003	1.969264e-001
4.619382045175937e-003	2.374946e-001
4.638913295175936e-003	2.744457e-001
4.658444545175936e-003	3.072236e-001
4.677975795175936e-003	3.353355e-001
4.697507045175935e-003	3.583585e-001
4.717038295175935e-003	3.759463e-001
4.736569545175934e-003	3.878345e-001
4.756100795175934e-003	3.938441e-001
4.775632045175933e-003	3.938848e-001
4.795163295175933e-003	3.879561e-001
4.814694545175933e-003	3.761469e-001
4.834225795175932e-003	3.586350e-001
4.853757045175932e-003	3.356838e-001
4.873288295175931e-003	3.076385e-001
4.892819545175931e-003	2.749209e-001
4.912350795175931e-003	2.380231e-001
4.931882045175930e-003	1.975001e-001
4.951413295175930e-003	1.539614e-001
4.970944545175929e-003	1.080618e-001
4.990475795175929e-003	6.049174e-002
5.010007045175929e-003	1.196672e-002
5.029538295175928e-003	-3.678342e-002
5.049069545175928e-003	-8.502542e-002
5.068600795175927e-003	-1.320337e-001
5.088132045175927e-003	-1.771012e-001
5.107663295175926e-003	-2.195500e-001
5.127194545175926e-003	-2.587417e-001
5.146725795175926e-003	-2.940869e-001
5.166257045175925e-003	-3.250538e-001
5.185788295175925e-003	-3.511767e-001
5.205319545175924e-003	-3.720628e-001
5.224850795175924e-003	-3.873977e-001
5.244382045175924e-003	-3.969510e-001
5.263913295175923e-003	-4.005789e-001
5.283444545175923e-003	-3.982269e-001
5.302975795175922e-003	-3.899302e-001
5.322507045175922e-003	-3.758138e-001
5.342038295175921e-003	-3.560899e-001
5.361569545175921e-003	-3.310552e-001
5.381100795175921e-003	-3.010863e-001
5.400632045175920e-003	-2.666338e-001
5.420163295175920e-003	-2.282161e-001
5.439694545175919e-003	-1.864109e-001
5.459225795175919e-003	-1.418470e-001
5.478757045175919e-003	-9.519479e-002
5.498288295175918e-003	-4.715585e-002
5.517819545175918e-003	1.547241e-003
5.537350795175917e-003	5.018194e-002
5.556882045175917e-003	9.801672e-002
5.576413295175916e-003	1.443321e-001
5.595944545175916e-003	1.884315e-001
5.615475795175916e-003	2.296516e-001
5.635007045175915e-003	2.673724e-001
5.654538295175915e-003	3.010265e-001
