time	V(vout1)
0.000000000000000e+000	0.000000e+000
1.006310719976990e-005	6.266602e-004
2.030310719977066e-005	1.254441e-003
3.054310719977230e-005	1.868689e-003
4.078310719977393e-005	2.466931e-003
5.102310719977557e-005	3.046759e-003
6.126310719977705e-005	3.605841e-003
7.150310719977175e-005	4.141932e-003
8.174310719976645e-005	4.652878e-003
9.198310719976114e-005	5.136632e-003
1.022231071997558e-004	5.591259e-003
1.124631071997505e-004	6.014943e-003
1.227031071997453e-004	6.405995e-003
1.329431071997400e-004	6.762863e-003
1.431831071997347e-004	7.084134e-003
1.534231071997293e-004	7.368544e-003
1.636631071997240e-004	7.614979e-003
1.739031071997187e-004	7.822484e-003
1.841431071997134e-004	7.990262e-003
1.943831071997081e-004	8.117683e-003
2.046231071997028e-004	8.204282e-003
2.148631071996975e-004	8.249762e-003
2.251031071996922e-004	8.253999e-003
2.353431071996869e-004	8.217036e-003
2.455831071996817e-004	8.139086e-003
2.558231071996764e-004	8.020533e-003
2.660631071996711e-004	7.861929e-003
2.763031071996657e-004	7.663990e-003
2.865431071996604e-004	7.427596e-003
2.967831071996551e-004	7.153783e-003
3.070231071996498e-004	6.843744e-003
3.172631071996445e-004	6.498822e-003
3.275031071996392e-004	6.120502e-003
3.377431071996339e-004	5.710407e-003
3.479831071996286e-004	5.270293e-003
3.582231071996233e-004	4.802039e-003
3.684631071996180e-004	4.307639e-003
3.787031071996127e-004	3.789196e-003
3.889431071996074e-004	3.248913e-003
3.991831071996021e-004	2.689081e-003
4.094231071995968e-004	2.112072e-003
4.196631071995915e-004	1.520330e-003
4.299031071995862e-004	9.163595e-004
4.401431071995809e-004	3.027140e-004
4.503831071995756e-004	-3.180125e-004
4.606231071995703e-004	-9.431970e-004
4.708631071995650e-004	-1.570199e-003
4.811031071995597e-004	-2.196369e-003
4.913431071995710e-004	-2.819064e-003
5.015831071996213e-004	-3.435653e-003
5.118231071996715e-004	-4.043533e-003
5.220631071997217e-004	-4.640136e-003
5.323031071997719e-004	-5.222941e-003
5.425431071998221e-004	-5.789484e-003
5.527831071998723e-004	-6.337370e-003
5.630231071999225e-004	-6.864281e-003
5.732631071999727e-004	-7.367986e-003
5.835031072000229e-004	-7.846349e-003
5.937431072000731e-004	-8.297342e-003
6.039831072001233e-004	-8.719048e-003
6.142231072001736e-004	-9.109673e-003
6.244631072002238e-004	-9.467551e-003
6.347031072002740e-004	-9.791153e-003
6.449431072003242e-004	-1.007909e-002
6.551831072003744e-004	-1.033013e-002
6.654231072004246e-004	-1.054317e-002
6.756631072004748e-004	-1.071730e-002
6.859031072005250e-004	-1.085173e-002
6.961431072005752e-004	-1.094588e-002
7.063831072006254e-004	-1.099930e-002
7.166231072006756e-004	-1.101173e-002
7.268631072007259e-004	-1.098307e-002
7.371031072007761e-004	-1.091339e-002
7.473431072008263e-004	-1.080293e-002
7.575831072008765e-004	-1.065211e-002
7.678231072009267e-004	-1.046151e-002
7.780631072009769e-004	-1.023187e-002
7.883031072010271e-004	-9.964093e-003
7.985431072010773e-004	-9.659249e-003
8.087831072011275e-004	-9.318556e-003
8.190231072011777e-004	-8.943378e-003
8.292631072012279e-004	-8.535225e-003
8.395031072012781e-004	-8.095744e-003
8.497431072013284e-004	-7.626712e-003
8.599831072013786e-004	-7.130027e-003
8.702231072014288e-004	-6.607702e-003
8.804631072014790e-004	-6.061858e-003
8.907031072015292e-004	-5.494713e-003
9.009431072015794e-004	-4.908573e-003
9.111831072016296e-004	-4.305821e-003
9.214231072016798e-004	-3.688914e-003
9.316631072017300e-004	-3.060363e-003
9.419031072017802e-004	-2.422729e-003
9.521431072018304e-004	-1.778612e-003
9.623831072018807e-004	-1.130639e-003
9.726231072019309e-004	-4.814510e-004
9.828631072019128e-004	1.663031e-004
9.931031072018520e-004	8.099814e-004
1.003343107201791e-003	1.446958e-003
1.013583107201730e-003	2.074636e-003
1.023823107201670e-003	2.690453e-003
1.034063107201609e-003	3.291900e-003
