v3	Ic(Q2)
9.200000000000006e-001	5.413438e-003
9.300000000000006e-001	5.413967e-003
9.400000000000006e-001	5.414496e-003
9.500000000000006e-001	5.415026e-003
9.600000000000006e-001	5.415555e-003
9.700000000000006e-001	5.416085e-003
9.800000000000007e-001	5.416614e-003
9.900000000000007e-001	5.417143e-003
1.000000000000001e+000	5.417672e-003
1.010000000000001e+000	5.418202e-003
1.020000000000001e+000	5.418731e-003
1.030000000000001e+000	5.419261e-003
1.040000000000001e+000	5.419790e-003
1.050000000000001e+000	5.420319e-003
1.060000000000001e+000	5.420849e-003
1.070000000000001e+000	5.421378e-003
1.080000000000001e+000	5.421907e-003
1.090000000000001e+000	5.422437e-003
1.100000000000001e+000	5.422966e-003
1.110000000000001e+000	5.423496e-003
1.120000000000001e+000	5.424025e-003
1.130000000000001e+000	5.424554e-003
1.140000000000001e+000	5.425083e-003
1.150000000000001e+000	5.425612e-003
1.160000000000001e+000	5.426142e-003
1.170000000000001e+000	5.426671e-003
1.180000000000001e+000	5.427201e-003
1.190000000000001e+000	5.427730e-003
1.200000000000001e+000	5.428259e-003
1.210000000000001e+000	5.428789e-003
1.220000000000001e+000	5.429318e-003
1.230000000000001e+000	5.429847e-003
1.240000000000001e+000	5.430377e-003
1.250000000000001e+000	5.430906e-003
1.260000000000001e+000	5.431435e-003
1.270000000000001e+000	5.431965e-003
1.280000000000001e+000	5.432494e-003
1.290000000000001e+000	5.433023e-003
1.300000000000001e+000	5.433552e-003
1.310000000000001e+000	5.434081e-003
1.320000000000001e+000	5.434611e-003
1.330000000000001e+000	5.435140e-003
1.340000000000001e+000	5.435669e-003
1.350000000000001e+000	5.436199e-003
1.360000000000001e+000	5.436728e-003
1.370000000000001e+000	5.437257e-003
1.380000000000001e+000	5.437787e-003
1.390000000000001e+000	5.438316e-003
1.400000000000001e+000	5.438845e-003
1.410000000000001e+000	5.439375e-003
1.420000000000001e+000	5.439904e-003
1.430000000000001e+000	5.440433e-003
1.440000000000001e+000	5.440962e-003
1.450000000000001e+000	5.441491e-003
1.460000000000001e+000	5.442021e-003
1.470000000000001e+000	5.442550e-003
1.480000000000001e+000	5.443079e-003
1.490000000000001e+000	5.443608e-003
1.500000000000001e+000	5.444138e-003
1.510000000000001e+000	5.444667e-003
1.520000000000001e+000	5.445196e-003
1.530000000000001e+000	5.445725e-003
1.540000000000001e+000	5.446255e-003
1.550000000000001e+000	5.446784e-003
1.560000000000001e+000	5.447313e-003
1.570000000000001e+000	5.447843e-003
1.580000000000001e+000	5.448372e-003
1.590000000000001e+000	5.448901e-003
1.600000000000001e+000	5.449430e-003
1.610000000000001e+000	5.449960e-003
1.620000000000001e+000	5.450489e-003
1.630000000000001e+000	5.451018e-003
1.640000000000001e+000	5.451547e-003
1.650000000000001e+000	5.452076e-003
1.660000000000001e+000	5.452605e-003
1.670000000000001e+000	5.453135e-003
1.680000000000001e+000	5.453664e-003
1.690000000000001e+000	5.454193e-003
1.700000000000001e+000	5.454722e-003
1.710000000000001e+000	5.455252e-003
1.720000000000001e+000	5.455781e-003
1.730000000000001e+000	5.456310e-003
1.740000000000001e+000	5.456839e-003
1.750000000000001e+000	5.457368e-003
1.760000000000001e+000	5.457898e-003
1.770000000000001e+000	5.458427e-003
1.780000000000001e+000	5.458956e-003
1.790000000000001e+000	5.459485e-003
1.800000000000001e+000	5.460015e-003
1.810000000000001e+000	5.460544e-003
1.820000000000001e+000	5.461073e-003
1.830000000000001e+000	5.461602e-003
1.840000000000001e+000	5.462131e-003
1.850000000000001e+000	5.462660e-003
1.860000000000001e+000	5.463189e-003
1.870000000000001e+000	5.463718e-003
1.880000000000001e+000	5.464248e-003
1.890000000000002e+000	5.464777e-003
1.900000000000002e+000	5.465306e-003
1.910000000000002e+000	5.465835e-003
1.920000000000002e+000	5.466364e-003
1.930000000000002e+000	5.466894e-003
1.940000000000002e+000	5.467423e-003
1.950000000000002e+000	5.467952e-003
1.960000000000002e+000	5.468481e-003
1.970000000000002e+000	5.469010e-003
1.980000000000002e+000	5.469539e-003
1.990000000000002e+000	5.470069e-003
2.000000000000001e+000	5.470598e-003
2.010000000000001e+000	5.471127e-003
2.020000000000001e+000	5.471656e-003
2.030000000000001e+000	5.472185e-003
2.040000000000001e+000	5.472714e-003
2.050000000000000e+000	5.473244e-003
2.060000000000000e+000	5.473773e-003
2.070000000000000e+000	5.474302e-003
2.080000000000000e+000	5.474831e-003
2.089999999999999e+000	5.475360e-003
2.099999999999999e+000	5.475889e-003
2.109999999999999e+000	5.476418e-003
2.119999999999999e+000	5.476947e-003
2.129999999999999e+000	5.477476e-003
2.139999999999998e+000	5.478005e-003
2.149999999999998e+000	5.478535e-003
2.159999999999998e+000	5.479064e-003
2.169999999999998e+000	5.479593e-003
2.179999999999998e+000	5.480122e-003
2.189999999999997e+000	5.480651e-003
2.199999999999997e+000	5.481180e-003
2.209999999999997e+000	5.481709e-003
2.219999999999997e+000	5.482238e-003
2.229999999999996e+000	5.482768e-003
2.239999999999996e+000	5.483297e-003
2.249999999999996e+000	5.483826e-003
2.259999999999996e+000	5.484355e-003
2.269999999999996e+000	5.484884e-003
2.279999999999995e+000	5.485413e-003
2.289999999999995e+000	5.485942e-003
2.299999999999995e+000	5.486471e-003
2.309999999999995e+000	5.487000e-003
2.319999999999995e+000	5.487530e-003
2.329999999999994e+000	5.488059e-003
2.339999999999994e+000	5.488588e-003
2.349999999999994e+000	5.489117e-003
2.359999999999994e+000	5.489646e-003
2.369999999999993e+000	5.490175e-003
2.379999999999993e+000	5.490704e-003
2.389999999999993e+000	5.491233e-003
2.399999999999993e+000	5.491762e-003
2.409999999999993e+000	5.492291e-003
2.419999999999992e+000	5.492820e-003
2.429999999999992e+000	5.493349e-003
2.439999999999992e+000	5.493878e-003
2.449999999999992e+000	5.494407e-003
2.459999999999992e+000	5.494936e-003
2.469999999999991e+000	5.495465e-003
2.479999999999991e+000	5.495994e-003
2.489999999999991e+000	5.496523e-003
2.499999999999991e+000	5.497052e-003
2.509999999999991e+000	5.497581e-003
2.519999999999990e+000	5.498110e-003
2.529999999999990e+000	5.498640e-003
2.539999999999990e+000	5.499169e-003
