v1	Id(M1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	3.120539e-004
2.000000000000000e-002	6.087125e-004
3.000000000000000e-002	8.899279e-004
4.000000000000000e-002	1.155652e-003
5.000000000000000e-002	1.405837e-003
6.000000000000001e-002	1.640435e-003
7.000000000000001e-002	1.859398e-003
8.000000000000000e-002	2.062678e-003
9.000000000000000e-002	2.250227e-003
9.999999999999999e-002	2.421997e-003
1.100000000000000e-001	2.577940e-003
1.200000000000000e-001	2.718008e-003
1.300000000000000e-001	2.842153e-003
1.400000000000000e-001	2.950328e-003
1.500000000000000e-001	3.042483e-003
1.600000000000000e-001	3.118573e-003
1.700000000000000e-001	3.178547e-003
1.800000000000000e-001	3.222359e-003
1.900000000000000e-001	3.249960e-003
2.000000000000000e-001	3.261302e-003
2.100000000000001e-001	3.264500e-003
2.200000000000001e-001	3.267697e-003
2.300000000000001e-001	3.270895e-003
2.400000000000001e-001	3.274092e-003
2.500000000000001e-001	3.277289e-003
2.600000000000001e-001	3.280487e-003
2.700000000000001e-001	3.283684e-003
2.800000000000001e-001	3.286881e-003
2.900000000000001e-001	3.290079e-003
3.000000000000001e-001	3.293276e-003
3.100000000000001e-001	3.296473e-003
3.200000000000001e-001	3.299671e-003
3.300000000000001e-001	3.302868e-003
3.400000000000001e-001	3.306065e-003
3.500000000000001e-001	3.309263e-003
3.600000000000002e-001	3.312460e-003
3.700000000000002e-001	3.315658e-003
3.800000000000002e-001	3.318855e-003
3.900000000000002e-001	3.322052e-003
4.000000000000002e-001	3.325250e-003
4.100000000000002e-001	3.328447e-003
4.200000000000002e-001	3.331644e-003
4.300000000000002e-001	3.334842e-003
4.400000000000002e-001	3.338039e-003
4.500000000000002e-001	3.341236e-003
4.600000000000002e-001	3.344434e-003
4.700000000000003e-001	3.347631e-003
4.800000000000003e-001	3.350829e-003
4.900000000000003e-001	3.354026e-003
5.000000000000002e-001	3.357223e-003
5.100000000000002e-001	3.360420e-003
5.200000000000002e-001	3.363618e-003
5.300000000000003e-001	3.366815e-003
5.400000000000003e-001	3.370013e-003
5.500000000000003e-001	3.373210e-003
5.600000000000003e-001	3.376407e-003
5.700000000000003e-001	3.379605e-003
5.800000000000003e-001	3.382802e-003
5.900000000000003e-001	3.385999e-003
6.000000000000003e-001	3.389197e-003
6.100000000000003e-001	3.392394e-003
6.200000000000003e-001	3.395591e-003
6.300000000000003e-001	3.398789e-003
6.400000000000004e-001	3.401986e-003
6.500000000000004e-001	3.405184e-003
6.600000000000004e-001	3.408381e-003
6.700000000000004e-001	3.411578e-003
6.800000000000004e-001	3.414775e-003
6.900000000000004e-001	3.417973e-003
7.000000000000004e-001	3.421170e-003
7.100000000000004e-001	3.424368e-003
7.200000000000004e-001	3.427565e-003
7.300000000000004e-001	3.430762e-003
7.400000000000004e-001	3.433960e-003
7.500000000000004e-001	3.437157e-003
7.600000000000005e-001	3.440354e-003
7.700000000000005e-001	3.443552e-003
7.800000000000005e-001	3.446749e-003
7.900000000000005e-001	3.449946e-003
8.000000000000005e-001	3.453144e-003
8.100000000000005e-001	3.456341e-003
8.200000000000005e-001	3.459539e-003
8.300000000000005e-001	3.462736e-003
8.400000000000005e-001	3.465933e-003
8.500000000000005e-001	3.469130e-003
8.600000000000005e-001	3.472328e-003
8.700000000000006e-001	3.475525e-003
8.800000000000006e-001	3.478723e-003
8.900000000000006e-001	3.481920e-003
9.000000000000006e-001	3.485117e-003
9.100000000000006e-001	3.488315e-003
9.200000000000006e-001	3.491512e-003
9.300000000000006e-001	3.494709e-003
9.400000000000006e-001	3.497907e-003
9.500000000000006e-001	3.501104e-003
9.600000000000006e-001	3.504301e-003
9.700000000000006e-001	3.507499e-003
9.800000000000007e-001	3.510696e-003
9.900000000000007e-001	3.513894e-003
1.000000000000001e+000	3.517091e-003
1.010000000000001e+000	3.520288e-003
1.020000000000001e+000	3.523486e-003
1.030000000000001e+000	3.526683e-003
1.040000000000001e+000	3.529880e-003
1.050000000000001e+000	3.533078e-003
1.060000000000001e+000	3.536275e-003
1.070000000000001e+000	3.539472e-003
1.080000000000001e+000	3.542670e-003
1.090000000000001e+000	3.545867e-003
1.100000000000001e+000	3.549065e-003
1.110000000000001e+000	3.552262e-003
1.120000000000001e+000	3.555459e-003
1.130000000000001e+000	3.558656e-003
1.140000000000001e+000	3.561854e-003
1.150000000000001e+000	3.565051e-003
1.160000000000001e+000	3.568249e-003
1.170000000000001e+000	3.571446e-003
1.180000000000001e+000	3.574643e-003
1.190000000000001e+000	3.577841e-003
1.200000000000001e+000	3.581038e-003
1.210000000000001e+000	3.584235e-003
1.220000000000001e+000	3.587433e-003
1.230000000000001e+000	3.590630e-003
1.240000000000001e+000	3.593827e-003
1.250000000000001e+000	3.597025e-003
1.260000000000001e+000	3.600222e-003
1.270000000000001e+000	3.603420e-003
1.280000000000001e+000	3.606617e-003
1.290000000000001e+000	3.609814e-003
1.300000000000001e+000	3.613012e-003
1.310000000000001e+000	3.616209e-003
1.320000000000001e+000	3.619406e-003
1.330000000000001e+000	3.622604e-003
1.340000000000001e+000	3.625801e-003
1.350000000000001e+000	3.628998e-003
1.360000000000001e+000	3.632196e-003
1.370000000000001e+000	3.635393e-003
1.380000000000001e+000	3.638590e-003
1.390000000000001e+000	3.641788e-003
1.400000000000001e+000	3.644985e-003
1.410000000000001e+000	3.648182e-003
1.420000000000001e+000	3.651380e-003
1.430000000000001e+000	3.654577e-003
1.440000000000001e+000	3.657775e-003
1.450000000000001e+000	3.660972e-003
1.460000000000001e+000	3.664169e-003
1.470000000000001e+000	3.667367e-003
1.480000000000001e+000	3.670564e-003
1.490000000000001e+000	3.673761e-003
1.500000000000001e+000	3.676959e-003
1.510000000000001e+000	3.680156e-003
1.520000000000001e+000	3.683353e-003
1.530000000000001e+000	3.686551e-003
1.540000000000001e+000	3.689748e-003
1.550000000000001e+000	3.692945e-003
1.560000000000001e+000	3.696143e-003
1.570000000000001e+000	3.699340e-003
1.580000000000001e+000	3.702538e-003
1.590000000000001e+000	3.705735e-003
1.600000000000001e+000	3.708932e-003
1.610000000000001e+000	3.712130e-003
1.620000000000001e+000	3.715327e-003
1.630000000000001e+000	3.718524e-003
1.640000000000001e+000	3.721722e-003
